ensemID	logFC	logCPM	LR	PValue	FDR	T_perc	N_perc	T_median	N_median	AUC	Metric_FC	Metric_FC_CPM	Gene	N_percentile	T_percentile
ENSG00000198886	-0.143546468959157	14.1543744306976	1.60862682979564	0.20468493496652	0.221639474875323	1	1	14484.0408386068	17016.8454245977	0.793937569609584	-0.143546468959157	-2.03181046985242	MT-ND4	0.999871009351822	0.999935504675911
ENSG00000198804	-0.837707227931071	14.2552439990154	51.7407653926981	6.3334008806212e-13	1.09718981258894e-12	1	1	11122.959005995	19715.6166921541	0.792135998314319	-0.837707227931071	-11.9417209338962	MT-CO1	0.999935504675911	0.999871009351822
ENSG00000198712	-0.0229693983665944	13.529746165095	0.045925167091184	0.830311886178489	0.841007024244211	1	1	9780.16200371245	10206.658433378	0.77353481231751	-0.0229693983665944	-0.310770129464969	MT-CO2	0.999742018703644	0.999806514027733
ENSG00000198938	-0.441489681975988	13.5475715025613	16.56432611398	4.70273670865533e-05	6.26883180051456e-05	1	1	8359.24408459113	11194.9687225216	0.841970440384094	-0.441489681975988	-5.98111303421275	MT-CO3	0.999806514027733	0.999742018703644
ENSG00000075624	-0.217821983181028	13.0370477905757	4.45888484854635	0.0347201569025691	0.0399146531040963	1	1	6722.00280927216	9270.80425745234	0.847403750639656	-0.217821983181028	-2.83975560456903	ACTB	0.999677523379555	0.999677523379555
ENSG00000198727	-0.301059309096816	13.1729668611289	8.28066460476452	0.00400694600747477	0.00486645241879982	1	1	6651.25784008509	9186.2981930678	0.841819933174799	-0.301059309096816	-3.9658443019667	MT-CYB	0.999613028055466	0.999613028055466
ENSG00000198899	0.029517494990361	12.8560536052341	0.0855239222757405	0.769946609768605	0.783450008665624	1	1	6409.73835800536	6698.05799076514	0.789276361337708	0.029517494990361	0.37947849788831	MT-ATP6	0.99935504675911	0.999548532731377
ENSG00000198763	-0.0124742976540608	12.9158341295136	0.015084764503456	0.902249597437455	0.908524994403511	1	1	6188.16255527895	7042.21729327337	0.774881851840703	-0.0124742976540608	-0.16111595938203	MT-ND2	0.999419542083199	0.999484037407288
ENSG00000156508	0.0343455385895034	12.6739179560217	0.119712558974783	0.729346451791014	0.744779557329901	1	1	5728.45535105249	6492.05023791905	0.819782667589778	0.0343455385895034	0.435292538238745	EEF1A1	0.999290551435021	0.999419542083199
ENSG00000198888	-0.549025117240151	12.5678726774213	30.2806631918872	3.73834271206308e-08	5.6196668561445e-08	1	1	4020.62583970953	6327.27430349653	0.865530838927185	-0.549025117240151	-6.90007777018052	MT-ND1	0.999226056110932	0.99935504675911
ENSG00000108821	2.62429295287167	11.2571255365461	901.525659036586	4.57257780949086e-198	5.36213496190938e-197	1	1	3415.08189771987	761.870460671631	0.781346136479937	2.62429295287167	29.5419952151497	COL1A1	0.994066430183812	0.999290551435021
ENSG00000167658	0.36814444735276	11.6052483089848	17.0965258796853	3.55272338623263e-05	4.76413071123006e-05	1	1	3097.99295183294	2769.4147692529	0.740201980674874	0.36814444735276	4.27240772510278	EEF2	0.998903579490487	0.999226056110932
ENSG00000184009	0.121760506716646	11.5717343559095	1.8681612549106	0.171685821906586	0.187149747882269	1	1	2869.62301557034	2711.94309878077	0.804266879383522	0.121760506716646	1.40898023876596	ACTG1	0.998839084166398	0.999161560786843
ENSG00000100316	0.27868613304765	11.247836133549	10.5225079310735	0.0011792933311517	0.00146994150248398	1	1	2438.00958483687	2202.06084290839	0.731990307335721	0.27868613304765	3.13461595721239	RPL3	0.998452112221864	0.999097065462754
ENSG00000137154	0.58101918644839	11.0437413757351	48.1310323590654	3.98666812742989e-12	6.76053376705161e-12	1	1	2206.3545848906	1629.95609042016	0.688891062881912	0.58101918644839	6.41662562947602	RPS6	0.99806514027733	0.999032570138665
ENSG00000142541	0.317168586142541	11.0288892370136	14.2976707878872	0.000156057860397305	0.000202656745361275	1	1	2174.15334135596	1809.67989900962	0.751536678606905	0.317168586142541	3.49801720602631	RPL13A	0.998323121573686	0.998968074814576
ENSG00000198786	-0.740100909184323	11.9957002207626	60.6058517295618	6.9726427741923e-15	1.27539507869894e-14	1	1	2108.23988197045	3739.06371258977	0.876775232533638	-0.740100909184323	-8.878028639689	MT-ND5	0.999161560786843	0.998903579490487
ENSG00000161016	0.99615967560053	10.8024147379284	149.78637674775	1.93042487703404e-34	5.23533119225041e-34	1	1	2033.8060186032	1213.61675791268	0.556563619397369	0.99615967560053	10.7609299610372	RPL8	0.996839729119639	0.998839084166398
ENSG00000089157	0.641771195811791	10.878714336194	60.9336915989722	5.90299131742843e-15	1.08204045081391e-14	1	1	2019.38170290328	1441.8766880354	0.667341440655007	0.641771195811791	6.98164550843409	RPLP0	0.997613673008707	0.998774588842309
ENSG00000168542	1.30770746767663	10.6996793389278	263.772421718646	2.58369116122882e-59	9.77386075179382e-59	1	1	1926.94238558538	932.131340240157	0.545570572830439	1.30770746767663	13.9920505732612	COL3A1	0.995420831989681	0.99871009351822
ENSG00000133112	0.40125145604826	10.946703970622	23.3489883232651	1.35114555501898e-06	1.91988587349101e-06	1	1	1921.61960761274	1656.70201596714	0.742455073598025	0.40125145604826	4.39238090714136	TPT1	0.998194130925508	0.998645598194131
ENSG00000167526	0.816476480654522	10.6926326989862	103.009259426233	3.33585461648764e-24	7.54610453621641e-24	1	1	1909.53213548579	1215.971558259	0.610880166159959	0.816476480654522	8.73028311499973	RPL13	0.996904224443728	0.998581102870042
ENSG00000087086	0.110553458146519	10.9581684478047	1.75185718828715	0.185643428186034	0.201655027419525	1	1	1871.10742212834	1653.79275143796	0.75774660606243	0.110553458146519	1.21146341685688	FTL	0.998129635601419	0.998516607545953
ENSG00000198840	-0.3966109988037	11.2864014585036	20.5253760507753	5.88459209525182e-06	8.16171690818748e-06	1	1	1826.92344427444	2487.63845982871	0.866635561843412	-0.3966109988037	-4.47631095535666	MT-ND3	0.998774588842309	0.998452112221864
ENSG00000174444	0.414338644857506	10.7173793753085	26.1979637209578	3.08147294295152e-07	4.46748688434834e-07	1	1	1778.56694595341	1486.32868890672	0.652590229071973	0.414338644857506	4.44062444678909	RPL4	0.997678168332796	0.998387616897775
ENSG00000198034	0.747722778632251	10.5805498536514	88.5379652876759	4.98685322901027e-21	1.05290095911951e-20	1	1	1722.42675746689	1120.9570300676	0.617794467354986	0.747722778632251	7.9113181360293	RPS4X	0.996581747823283	0.998323121573686
ENSG00000231500	0.720767061267802	10.6582133400285	80.810920786432	2.48381507194883e-19	5.04613498748319e-19	1	1	1720.35620886312	1208.30973832209	0.646016074169953	0.720767061267802	7.68208910745765	RPS18	0.99677523379555	0.998258626249597
