Sample_Type,GAPDH,TGFBI,RPS10,CEMIP,SLCO4A1,MMP11,GDF15,ETV4,NME2,COL11A1,TRIB3,SIM2,MMP3,MMP1,CXCL8,REG1A,KRT80,CEL,COMP,DPEP1,CPNE7
CRC,23.68,28.26,31.79,31.6,33.2,37.22,25.5,31.32,28.55,40,28.89,33.86,28.65,27.8,18.5,31.4,35.22,27.44,35.07,28.36,30.23
CRC,25.78,30.91,34.58,35.53,40,37.42,28.43,33.23,31.72,40,31.33,36.79,40,31.12,23.54,34.88,37.02,33.56,40,40,31.86
CRC,32.53,36.26,35.71,40,40,40,40,40,33.32,40,40,38.01,40,40,33.67,35.37,33.84,33.58,40,40,36.86
CRC,26.35,28.89,33.3,31.23,34,35.02,27.77,30.89,30.05,40,30.02,40,31.61,31,22.94,30.28,33.54,31.89,40,30.31,28.73
CRC,26.43,32.97,35.44,33.42,36.57,40,28.37,32.96,29.2,40,29.62,31.54,40,32.91,20.55,31.58,31.36,34.1,40,40,30.63
CRC,27.21,36.66,34.97,40,38.13,40,30.91,40,33.36,40,40,38.12,40,37.48,29.61,35.51,35.97,35.97,40,35.91,40
CRC,23.35,26.73,31.32,28.93,34.48,33.11,24.95,28.83,27.11,40,27.14,31.14,28.35,27.65,20.34,33.15,32.98,31.12,34.93,26.91,26.77
CRC,29.24,38.05,38.04,40,40,40,40,37.06,33.95,40,40,40,40,37.31,27.65,33.6,40,37.81,40,40,40
CRC,26.61,34.92,33,34.8,40,40,40,37.11,31.69,40,31.76,37.68,40,34.2,28.73,32.28,34.03,32.95,40,40,35.57
CRC,28.37,34.68,35.84,40,40,40,30.2,35.22,30.8,40,40,37.61,40,33.08,25.04,35.46,38.13,36.65,40,40,36.23
CRC,26.53,32.69,36.13,33.69,40,40,40,32.41,30.76,40,32.3,36.93,33.99,33.19,25.24,31.26,35.95,35.08,37.29,32.33,36.17
CRC,26.1,32.24,36,40,40,39.79,40,36.07,30.36,40,32.23,40,40,31.69,25.26,31.6,36.94,38.25,40,40,40
CRC,28.99,34.28,37.76,40,40,40,40,36.49,34,40,40,40,34.93,34.33,25.97,32.3,35.93,36.6,40,34.97,40
CRC,25.27,32.68,32.6,33.76,37.83,40,29.27,35.59,31.79,40,30.98,35.06,40,32.25,22.89,30.94,32.77,33.9,40,32.41,32.74
CRC,27.16,31.15,33.75,32.21,36.17,40,28.7,33.17,30.87,40,30.85,35.9,33.39,32.16,25.44,34.46,33.71,37.43,36.91,33.46,31.96
CRC,29.11,36.53,37.06,40,40,40,40,40,35.2,40,40,40,40,36.03,28.24,30.69,35.55,40,40,32.96,38.47
CRC,25.88,30.03,35.73,33.23,35.84,35.87,27.94,32.59,28.85,40,29.49,34.65,33.8,31.19,24,31.14,32.72,36.09,40,30.1,32.15
CRC,25.84,35,38.23,40,40,40,40,34.02,32.18,40,32,40,40,32.52,23.99,30.71,33.71,40,40,33.47,37.41
CRC,22.56,26.47,31.31,29.53,34.57,34.31,24.81,29.27,26.86,40,27.53,37.63,26.63,26.67,21.43,27.53,29.46,32.33,35.77,27.19,30.51
CRC,27.84,36.7,31.23,40,40,40,40,37.05,32.8,40,33.53,40,40,35.21,30.28,33.98,34.93,40,40,40,38.19
CRC,29.3,33.4,34.71,40,40,40,40,40,31.48,40,35.24,36.92,40,34.46,28.16,32.96,33.06,36.03,40,40,36.86
CRC,20.86,23.77,28.72,29.71,32.77,30.63,40,27.03,22.56,37.01,27.55,32.24,26.56,25.45,15.56,27.33,29.62,30.62,31.82,36.03,33.23
CRC,25.66,27.16,32.51,31.58,37.37,36.77,40,32.89,27.36,40,30.3,34.83,30.9,29.76,21.38,30.82,29.71,35.88,40,40,35.44
CRC,25.08,26.54,32.74,31.21,36.89,40,40,30.97,26.63,38.96,29.65,33.81,29.65,28.59,19.72,31.42,30.67,34.03,37.14,40,31.75
CRC,29.22,36.34,37.02,40,40,40,40,35.72,30.2,40,37.37,40,40,37.59,28.75,40,37.96,40,40,40,40
CRC,28.74,35.7,40,40,40,40,40,36.01,30.1,40,36.33,40,40,36.94,27.44,34.24,34.62,40,40,40,40
CRC,30.49,40,40,40,40,40,40,36.05,34.36,40,38.15,40,40,40,31.2,36,38.39,40,40,40,40
CRC,30.56,37.58,40,40,40,40,40,40,32.33,40,38.09,40,40,37.66,29.96,35.36,33.61,40,40,40,40
CRC,26.83,30.39,34.47,40,36.94,40,40,36.85,28.32,40,32.84,36.61,40,32.86,24.83,35.25,34.94,40,40,40,37.32
CRC,24.79,27.36,32.17,31.83,35.54,34.9,27.63,31.55,26.15,40,29.35,34.62,31.52,29.5,18.82,30.86,31.6,30.67,37.22,40,34.72
CRC,31.23,40,40,40,40,40,40,40,33.14,40,40,40,40,40,30.66,40,38.59,40,40,40,40
CRC,26.2,30.91,33.15,40,40,40,28.6,33.68,28.54,40,32.43,40,33.71,29.91,21.06,32.29,35.3,35.51,40,40,36.45
CRC,23.67,28.26,32.41,32.69,35.98,35.59,27.12,30.2,26.37,40,30.87,40,29.59,28.83,22.55,32.2,32.71,34.98,40,40,35.22
AA,27.45,40,33.6,40,34.93,40,29.02,40,29.7,40,32.67,40,40,37.74,23.52,34.1,31.29,38.5,40,40,40
AA,30.19,40,40,40,40,40,40,40,34.35,40,40,40,40,40,29.12,39.06,36.62,40,40,40,40
AA,27.41,32.85,37.27,35.53,40,40,40,37.07,32.88,40,31.82,40,40,34.87,30.27,33.87,33.04,36.5,40,40,40
AA,25.72,27.47,31.28,30.18,35.91,35.89,27.09,32.15,29.17,40,29.96,33.23,40,32.06,26.81,34.15,31.12,32.85,36.22,31.02,31.76
AA,27.45,33.9,32.87,34.83,40,40,40,36.24,33.44,40,34.38,40,40,32.58,23.42,33.41,33.45,35.27,40,40,37.53
AA,28.44,40,36.59,36,40,40,40,40,32.35,40,32.01,40,40,37.26,32.38,36.89,36.48,37.43,40,40,40
AA,26.55,35.38,35.5,40,40,40,40,36.69,31.14,40,33.31,36.76,40,34.74,28.89,35.63,34.29,33.92,40,40,35.19
AA,29.36,38.57,36.72,40,40,40,40,40,34.93,40,40,40,40,36.8,33.64,36.79,35.46,36.82,40,40,40
AA,26.81,34.89,33.99,36.01,37.48,40,40,36.55,32.38,40,34.06,40,40,36.3,31.18,36.02,35.72,34.05,37.77,40,36.93
AA,31.99,40,30.25,40,37.29,40,40,40,32.03,40,32.97,40,40,40,28.87,38.24,35.21,38.51,40,40,40
AA,26.29,33.93,36.41,40,40,40,40,37.21,32.88,40,40,40,40,34.36,31.65,33.89,33.97,37.27,40,33.2,38.15
AA,29.99,40,37.69,40,40,40,40,37.49,33.75,40,40,40,40,40,34.31,40,40,40,40,40,40
AA,26.65,31.78,36.48,40,40,40,40,34.81,32.86,40,40,40,40,32.94,25.48,33.69,36.52,40,40,40,40
AA,27.68,32.59,36.8,40,40,40,40,36.77,32.93,40,40,40,40,34.14,25.61,33.35,36.92,40,40,40,40
AA,29.27,35.5,36.13,40,40,40,40,40,33.82,40,33.81,37.85,40,36.59,32.02,36.12,34.47,36.84,40,40,37.48
AA,26.86,37.54,37.67,40,40,40,30.29,36.58,33.09,40,32.76,40,40,35.24,29.96,35.5,35.19,37.55,40,33.15,40
AA,30.01,37.89,37.41,40,40,40,40,40,35.34,40,34.5,40,40,40,35.41,40,37.87,38.78,38.13,40,40
AA,29.69,36.62,33.86,35.22,40,40,40,40,35.46,40,40,40,40,39.1,33.62,35.49,36.2,38.79,40,40,40
AA,28.85,34.2,36.66,35.26,40,40,40,40,33.01,40,34.66,37.87,40,35.92,32.37,37.55,35.92,34.97,40,31.39,35.94
AA,28.5,37.36,37.49,40,40,40,40,36.65,32.83,40,32.9,37.9,40,36.73,31.58,34.3,36.1,40,40,40,40
AA,29.01,36.98,36.32,40,40,40,40,40,31.01,40,37.38,37.78,40,40,32.92,34.28,33.1,37.89,40,40,40
AA,32.59,40,40,40,40,40,40,40,37.52,40,40,40,40,40,34.42,40,36.15,40,40,40,40
AA,32.69,40,40,40,40,40,40,40,34.56,40,40,40,40,39.23,35.24,34.51,34.32,40,40,40,40
AA,31.91,40,40,40,40,40,40,40,34.55,40,38.02,40,40,40,33.83,34.87,36.51,40,40,40,40
AA,29.97,36.15,36.05,40,40,40,40,38.22,32.01,40,33.33,40,40,34.78,26.9,40,33.44,38.26,40,40,40
AA,29.41,34.07,33.88,40,40,40,40,38.02,31.2,40,34.17,40,40,33.22,29.6,32.88,34.35,35.84,40,40,40
AA,27.78,36.03,36.12,40,40,40,40,37.37,30.14,40,36.15,40,40,31.81,28.14,29.75,34.92,40,40,38.2,40
AA,25.68,32.02,32.56,34.03,38.22,36.13,40,34.63,28.63,40,31.87,36.85,40,31.87,24.64,33.23,33.04,32.34,40,40,35.14
Col_Neg,30.85,40,40,40,40,40,40,40,32.41,40,36.22,40,40,40,31.91,37.49,38.23,40,40,40,40
Col_Neg,28.92,40,36.03,40,40,40,40,37.56,31.83,40,36.51,40,40,40,32.08,33.83,36.16,37.17,40,40,40
Col_Neg,27.28,37.37,34.46,40,40,40,40,40,29.41,40,33.45,40,40,38.12,30.25,34.03,33.28,36.78,40,40,40
Col_Neg,32.85,40,40,40,40,40,40,40,34.38,40,40,40,40,40,33.21,36.3,35.31,40,40,40,40
Col_Neg,29.98,38.12,39.01,40,40,40,40,40,32.29,40,35.56,40,40,40,33.1,35.85,33.55,33.12,40,40,40
Col_Neg,30.5,40,40,40,40,40,40,40,33.08,40,40,40,40,37.24,32.83,36.63,36.03,38.31,40,40,40
Col_Neg,28.3,37.56,34.22,40,40,40,40,40,31.2,40,40,36.91,40,32.8,30.76,29.65,32.88,31.17,40,40,40
Col_Neg,30.04,40,40,40,40,40,40,40,31.7,40,40,40,40,37.11,28.57,35.8,35.02,40,40,40,40
Col_Neg,30.41,37.15,37.45,40,40,40,40,38.46,31.59,40,36.63,36.97,40,37.11,34.08,33.71,33.11,38.49,40,40,40
Col_Neg,29.44,40,37.4,40,40,40,40,36.72,32.66,40,35.99,36.48,40,37.13,34.14,34.52,32.3,38.29,40,40,40
Col_Neg,30.98,40,40,40,40,40,40,40,33.16,40,36.66,40,40,37.68,32.86,34.52,34.74,40,40,40,40
Col_Neg,30.37,37.21,37.04,40,40,40,40,37.18,33.08,40,36.93,40,40,36.93,32.1,36.61,36.99,40,40,40,40
Col_Neg,29.28,38.11,35.17,40,40,40,40,40,31.96,40,37.2,40,40,40,30.88,35.34,35.97,36.97,37.41,40,40
Col_Neg,31.6,40,40,40,40,40,40,40,32.53,40,40,40,40,37.35,31.35,37.91,36.58,40,40,40,40
Col_Neg,29.56,37.11,36.97,40,40,40,40,40,32.34,40,35.21,40,40,35.33,30.82,30.89,35.11,36.85,40,40,40
Col_Neg,31.17,40,39.18,40,40,40,40,40,33.97,40,36.9,40,40,39.11,28.55,35.97,33.9,40,40,40,40
Col_Neg,28.71,37.3,36.85,40,40,40,40,40,32.18,40,36.23,40,40,36.15,28.8,32.07,32.69,38.11,40,40,40
Col_Neg,27.71,36.79,36.78,40,37.34,40,40,36.13,31.72,40,35.39,36.49,40,35.86,29.1,35.2,32.33,37.88,40,40,40
CON,29.55,36.12,40,40,40,40,40,40,32.59,40,37.11,40,40,35.21,26.41,40,40,40,40,40,40
CON,26.4,36.48,31.9,40,37.85,40,40,36.21,30.56,40,33.79,40,40,33.88,28.2,32.07,33.91,33.09,40,40,40
CON,26.67,36.37,36.35,40,40,40,40,40,29.59,40,31.88,40,39.22,34.92,27.92,29.87,40,32.89,40,40,40
CON,27.4,37.63,35.22,40,37.58,40,40,36.82,29.4,40,32.92,40,40,34.94,26.84,34.43,34.98,30.92,40,40,40
CON,27.8,35.82,34.87,40,40,40,40,40,30.21,40,33.92,40,40,34.23,30.84,33.17,31.4,37.3,40,40,40
