Sample_Type,Genes,Log_Fold_Expression
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
CRC,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
AA,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
Col_Neg,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CON,GAPDH,0
CRC,TGFBI,0.381230949307968
CRC,TGFBI,0
CRC,TGFBI,0.970406052783925
CRC,TGFBI,1.79525119765026
CRC,TGFBI,-0.977337524589523
CRC,TGFBI,-2.99439582001896
CRC,TGFBI,1.2130075659799
CRC,TGFBI,-2.5507816244606
CRC,TGFBI,-2.20420803418063
CRC,TGFBI,-0.817913673060735
CRC,TGFBI,-0.713941595976742
CRC,TGFBI,-0.700078652365546
CRC,TGFBI,-0.110903548889594
CRC,TGFBI,-1.58037557167668
CRC,TGFBI,0.790187785838338
CRC,TGFBI,-1.58730704348228
CRC,TGFBI,0.679284236948744
CRC,TGFBI,-2.79338313765658
CRC,TGFBI,0.845639560283132
CRC,TGFBI,-2.5854389834886
CRC,TGFBI,0.713941595976744
CRC,TGFBI,1.53878674084308
CRC,TGFBI,2.5161242654326
CRC,TGFBI,2.543850152655
CRC,TGFBI,-1.3793628893143
