Sample_Type,Genes,Ct
CRC,GAPDH,23.68
CRC,GAPDH,25.78
CRC,GAPDH,32.53
CRC,GAPDH,26.35
CRC,GAPDH,26.43
CRC,GAPDH,27.21
CRC,GAPDH,23.35
CRC,GAPDH,29.24
CRC,GAPDH,26.61
CRC,GAPDH,28.37
CRC,GAPDH,26.53
CRC,GAPDH,26.1
CRC,GAPDH,28.99
CRC,GAPDH,25.27
CRC,GAPDH,27.16
CRC,GAPDH,29.11
CRC,GAPDH,25.88
CRC,GAPDH,25.84
CRC,GAPDH,22.56
CRC,GAPDH,27.84
CRC,GAPDH,29.3
CRC,GAPDH,20.86
CRC,GAPDH,25.66
CRC,GAPDH,25.08
CRC,GAPDH,29.22
CRC,GAPDH,28.74
CRC,GAPDH,30.49
CRC,GAPDH,30.56
CRC,GAPDH,26.83
CRC,GAPDH,24.79
CRC,GAPDH,31.23
CRC,GAPDH,26.2
CRC,GAPDH,23.67
AA,GAPDH,27.45
AA,GAPDH,30.19
AA,GAPDH,27.41
AA,GAPDH,25.72
AA,GAPDH,27.45
AA,GAPDH,28.44
AA,GAPDH,26.55
AA,GAPDH,29.36
AA,GAPDH,26.81
AA,GAPDH,31.99
AA,GAPDH,26.29
AA,GAPDH,29.99
AA,GAPDH,26.65
AA,GAPDH,27.68
AA,GAPDH,29.27
AA,GAPDH,26.86
AA,GAPDH,30.01
AA,GAPDH,29.69
AA,GAPDH,28.85
AA,GAPDH,28.5
AA,GAPDH,29.01
AA,GAPDH,32.59
AA,GAPDH,32.69
AA,GAPDH,31.91
AA,GAPDH,29.97
AA,GAPDH,29.41
AA,GAPDH,27.78
AA,GAPDH,25.68
Col_Neg,GAPDH,30.85
Col_Neg,GAPDH,28.92
Col_Neg,GAPDH,27.28
Col_Neg,GAPDH,32.85
Col_Neg,GAPDH,29.98
Col_Neg,GAPDH,30.5
Col_Neg,GAPDH,28.3
Col_Neg,GAPDH,30.04
Col_Neg,GAPDH,30.41
Col_Neg,GAPDH,29.44
Col_Neg,GAPDH,30.98
Col_Neg,GAPDH,30.37
Col_Neg,GAPDH,29.28
Col_Neg,GAPDH,31.6
Col_Neg,GAPDH,29.56
Col_Neg,GAPDH,31.17
Col_Neg,GAPDH,28.71
Col_Neg,GAPDH,27.71
CON,GAPDH,29.55
CON,GAPDH,26.4
CON,GAPDH,26.67
CON,GAPDH,27.4
CON,GAPDH,27.8
CON,GAPDH,26.26
CON,GAPDH,30
CON,GAPDH,30.49
CON,GAPDH,32.83
CON,GAPDH,29.82
CON,GAPDH,28.22
CON,GAPDH,28.86
CON,GAPDH,29.94
CON,GAPDH,30.1
CON,GAPDH,27.21
CON,GAPDH,29.69
CON,GAPDH,28.68
CON,GAPDH,29.22
CON,GAPDH,30.41
CON,GAPDH,30.42
CON,GAPDH,30.94
CON,GAPDH,29.71
CON,GAPDH,27.84
CON,GAPDH,30.39
CON,GAPDH,30.22
CON,GAPDH,32.14
CON,GAPDH,29.41
CON,GAPDH,25.74
CON,GAPDH,30.1
CON,GAPDH,27.68
CON,GAPDH,29.2
CON,GAPDH,30.55
CON,GAPDH,29.19
CON,GAPDH,30.42
CON,GAPDH,31.2
CRC,TGFBI,28.26
CRC,TGFBI,30.91
CRC,TGFBI,36.26
CRC,TGFBI,28.89
CRC,TGFBI,32.97
CRC,TGFBI,36.66
CRC,TGFBI,26.73
CRC,TGFBI,38.05
CRC,TGFBI,34.92
CRC,TGFBI,34.68
CRC,TGFBI,32.69
CRC,TGFBI,32.24
CRC,TGFBI,34.28
CRC,TGFBI,32.68
CRC,TGFBI,31.15
CRC,TGFBI,36.53
CRC,TGFBI,30.03
CRC,TGFBI,35
CRC,TGFBI,26.47
CRC,TGFBI,36.7
CRC,TGFBI,33.4
CRC,TGFBI,23.77
CRC,TGFBI,27.16
CRC,TGFBI,26.54
CRC,TGFBI,36.34
CRC,TGFBI,35.7
CRC,TGFBI,40
CRC,TGFBI,37.58
CRC,TGFBI,30.39
CRC,TGFBI,27.36
CRC,TGFBI,40
CRC,TGFBI,30.91
CRC,TGFBI,28.26
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,32.85
AA,TGFBI,27.47
AA,TGFBI,33.9
AA,TGFBI,40
AA,TGFBI,35.38
AA,TGFBI,38.57
AA,TGFBI,34.89
AA,TGFBI,40
AA,TGFBI,33.93
AA,TGFBI,40
AA,TGFBI,31.78
AA,TGFBI,32.59
AA,TGFBI,35.5
AA,TGFBI,37.54
AA,TGFBI,37.89
AA,TGFBI,36.62
AA,TGFBI,34.2
AA,TGFBI,37.36
AA,TGFBI,36.98
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,40
AA,TGFBI,36.15
AA,TGFBI,34.07
AA,TGFBI,36.03
AA,TGFBI,32.02
Col_Neg,TGFBI,40
Col_Neg,TGFBI,40
Col_Neg,TGFBI,37.37
Col_Neg,TGFBI,40
Col_Neg,TGFBI,38.12
Col_Neg,TGFBI,40
Col_Neg,TGFBI,37.56
Col_Neg,TGFBI,40
Col_Neg,TGFBI,37.15
Col_Neg,TGFBI,40
Col_Neg,TGFBI,40
Col_Neg,TGFBI,37.21
Col_Neg,TGFBI,38.11
Col_Neg,TGFBI,40
Col_Neg,TGFBI,37.11
Col_Neg,TGFBI,40
Col_Neg,TGFBI,37.3
Col_Neg,TGFBI,36.79
CON,TGFBI,36.12
CON,TGFBI,36.48
CON,TGFBI,36.37
CON,TGFBI,37.63
CON,TGFBI,35.82
CON,TGFBI,34.29
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,37.14
CON,TGFBI,36.78
CON,TGFBI,37.37
CON,TGFBI,37.85
CON,TGFBI,38.09
CON,TGFBI,36.76
CON,TGFBI,40
CON,TGFBI,36.75
CON,TGFBI,36.3
CON,TGFBI,37.7
CON,TGFBI,40
CON,TGFBI,38.3
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,37.41
CON,TGFBI,36.88
CON,TGFBI,33.48
CON,TGFBI,40
CON,TGFBI,32.77
CON,TGFBI,37.23
CON,TGFBI,40
CON,TGFBI,40
CON,TGFBI,37.44
CON,TGFBI,40
CRC,RPS10,31.79
CRC,RPS10,34.58
CRC,RPS10,35.71
CRC,RPS10,33.3
CRC,RPS10,35.44
CRC,RPS10,34.97
CRC,RPS10,31.32
CRC,RPS10,38.04
CRC,RPS10,33
CRC,RPS10,35.84
CRC,RPS10,36.13
CRC,RPS10,36
CRC,RPS10,37.76
CRC,RPS10,32.6
CRC,RPS10,33.75
CRC,RPS10,37.06
CRC,RPS10,35.73
CRC,RPS10,38.23
CRC,RPS10,31.31
CRC,RPS10,31.23
CRC,RPS10,34.71
CRC,RPS10,28.72
CRC,RPS10,32.51
CRC,RPS10,32.74
CRC,RPS10,37.02
CRC,RPS10,40
CRC,RPS10,40
CRC,RPS10,40
CRC,RPS10,34.47
CRC,RPS10,32.17
CRC,RPS10,40
CRC,RPS10,33.15
CRC,RPS10,32.41
AA,RPS10,33.6
AA,RPS10,40
AA,RPS10,37.27
AA,RPS10,31.28
AA,RPS10,32.87
AA,RPS10,36.59
AA,RPS10,35.5
AA,RPS10,36.72
AA,RPS10,33.99
AA,RPS10,30.25
AA,RPS10,36.41
AA,RPS10,37.69
AA,RPS10,36.48
AA,RPS10,36.8
AA,RPS10,36.13
AA,RPS10,37.67
AA,RPS10,37.41
AA,RPS10,33.86
AA,RPS10,36.66
AA,RPS10,37.49
AA,RPS10,36.32
AA,RPS10,40
AA,RPS10,40
AA,RPS10,40
AA,RPS10,36.05
AA,RPS10,33.88
AA,RPS10,36.12
AA,RPS10,32.56
Col_Neg,RPS10,40
Col_Neg,RPS10,36.03
Col_Neg,RPS10,34.46
Col_Neg,RPS10,40
Col_Neg,RPS10,39.01
Col_Neg,RPS10,40
Col_Neg,RPS10,34.22
Col_Neg,RPS10,40
Col_Neg,RPS10,37.45
Col_Neg,RPS10,37.4
Col_Neg,RPS10,40
Col_Neg,RPS10,37.04
Col_Neg,RPS10,35.17
Col_Neg,RPS10,40
Col_Neg,RPS10,36.97
Col_Neg,RPS10,39.18
Col_Neg,RPS10,36.85
Col_Neg,RPS10,36.78
CON,RPS10,40
CON,RPS10,31.9
CON,RPS10,36.35
CON,RPS10,35.22
CON,RPS10,34.87
CON,RPS10,34.43
CON,RPS10,38.52
CON,RPS10,36.91
CON,RPS10,40
CON,RPS10,37.17
CON,RPS10,36.55
CON,RPS10,35.73
CON,RPS10,36.14
CON,RPS10,37
CON,RPS10,37.12
CON,RPS10,35.86
CON,RPS10,37.49
CON,RPS10,36.92
CON,RPS10,38.44
CON,RPS10,38.44
CON,RPS10,40
CON,RPS10,40
CON,RPS10,32.64
CON,RPS10,38.41
CON,RPS10,38.1
CON,RPS10,36.53
CON,RPS10,34.27
CON,RPS10,34.15
CON,RPS10,37.22
CON,RPS10,35.72
CON,RPS10,36.68
CON,RPS10,38.46
CON,RPS10,40
CON,RPS10,36.49
CON,RPS10,40
CRC,CEMIP,31.6
CRC,CEMIP,35.53
CRC,CEMIP,40
CRC,CEMIP,31.23
CRC,CEMIP,33.42
CRC,CEMIP,40
CRC,CEMIP,28.93
CRC,CEMIP,40
CRC,CEMIP,34.8
CRC,CEMIP,40
CRC,CEMIP,33.69
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,33.76
CRC,CEMIP,32.21
CRC,CEMIP,40
CRC,CEMIP,33.23
CRC,CEMIP,40
CRC,CEMIP,29.53
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,29.71
CRC,CEMIP,31.58
CRC,CEMIP,31.21
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,31.83
CRC,CEMIP,40
CRC,CEMIP,40
CRC,CEMIP,32.69
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,35.53
AA,CEMIP,30.18
AA,CEMIP,34.83
AA,CEMIP,36
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,36.01
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,35.22
AA,CEMIP,35.26
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,40
AA,CEMIP,34.03
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
Col_Neg,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,34.46
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CON,CEMIP,40
CRC,SLCO4A1,33.2
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,34
CRC,SLCO4A1,36.57
CRC,SLCO4A1,38.13
CRC,SLCO4A1,34.48
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,37.83
CRC,SLCO4A1,36.17
CRC,SLCO4A1,40
CRC,SLCO4A1,35.84
CRC,SLCO4A1,40
CRC,SLCO4A1,34.57
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,32.77
CRC,SLCO4A1,37.37
CRC,SLCO4A1,36.89
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,36.94
CRC,SLCO4A1,35.54
CRC,SLCO4A1,40
CRC,SLCO4A1,40
CRC,SLCO4A1,35.98
AA,SLCO4A1,34.93
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,35.91
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,37.48
AA,SLCO4A1,37.29
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,40
AA,SLCO4A1,38.22
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,40
Col_Neg,SLCO4A1,37.34
CON,SLCO4A1,40
CON,SLCO4A1,37.85
CON,SLCO4A1,40
CON,SLCO4A1,37.58
CON,SLCO4A1,40
CON,SLCO4A1,38.01
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CON,SLCO4A1,40
CRC,MMP11,37.22
CRC,MMP11,37.42
CRC,MMP11,40
CRC,MMP11,35.02
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,33.11
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,39.79
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,35.87
CRC,MMP11,40
CRC,MMP11,34.31
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,30.63
CRC,MMP11,36.77
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,34.9
CRC,MMP11,40
CRC,MMP11,40
CRC,MMP11,35.59
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,35.89
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,40
AA,MMP11,36.13
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
Col_Neg,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
CON,MMP11,40
